题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
医学场景下联邦学习应用及其隐私保护探究, 目的/意义 探究应用联邦学习开展临床研究，在保护患者隐私数据的同时开展大模型训练，推动医学研究发展。方法/过程 介绍联邦学习技术框架，重点分析其在医学影像、疾病预测、个性化治疗和新药研发等领域应用的巨大潜力和可能遇到的问题。结果/结论 联邦学习提供了一种在医学大数据分析中合作而不共享数据的能力，为跨机构的协同合作提供可能。目前联邦学习在医学研究中尚面临数据异质性、通信效率、模型泛化及安全性等问题，有待进一步深入研究。,联邦学习;;隐私保护;;医学研究;,2024/9/25,章俊,南昌大学第一附属医院,医学信息学杂志,R-05
河南省远程会诊服务效率及影响因素分析, 目的/意义 分析河南省远程会诊应用情况及影响服务效率的因素，优化服务模式，为远程医疗良性发展提供建议。方法/过程 收集整理2022年通过河南省区域远程医疗综合服务平台开展的远程会诊业务量、患者和医生资料、会诊过程资料，利用IBM SPSS 23.0软件描述性分析远程会诊患者分布及业务开展情况，通过多元logistic回归分析影响会诊效率的因素。结果/结论 远程会诊申请医院等级、会诊科室影响会诊过程时长；会诊科室、专家职称、转诊建议是影响会诊响应时长的主要因素。建议优化远程会诊服务流程，提升医生参与会诊的积极性，降低会诊响应时长，提高会诊效率。,远程会诊;;人群分布;;会诊效率;;服务管理;,2024/9/25,王振博;纪美好;叶明;赵杰;崔芳芳,1.郑州大学第一附属医院远程医学中心,医学信息学杂志,R-05
广州市中老年人电子健康素养现状与提升路径研究, 目的/意义 分析中老年人电子健康素养水平的动态变化、影响因素以及薄弱环节，为提高中老年人电子健康素养水平提供借鉴。方法/过程 面向广州市内505位中老年人开展问卷调查，使用SPSS 24.0对调查结果进行分析。结果/结论 中老年人电子健康素养平均得分处于中等水平；其电子健康素养的薄弱环节是健康信息的交互和评判能力不足；个体因素是影响中老年人电子健康素养的首要因素。建议加大政策及资金支持、开展“低龄化帮扶老龄化”助老模式、对数字健康App进行适老化改造等。,中老年人;;电子健康素养;;适老化;;广州市;,2024/9/25,陈间玲;吴桂萍;石荣丽;郑洁楠;李梦蝶,广东药科大学医药商学院/广东省药品监管科学研究基地,医学信息学杂志,R193
基于Unity3D与MEMS惯性感知的运动监测系统设计, 目的/意义 构建人体模型，与实际人体运动数据绑定，实现对人体运动姿态的监测。方法/过程 设计一种基于Unity3D和MEMS惯性传感器的运动监测系统。利用MEMS惯性传感器获取人体的运动姿态数据，利用欧拉角进行姿态解算，通过蓝牙无线传输协议将数据发送到计算机系统，以驱动虚拟动画人物的运动，实现人体动作的3D姿态实时展现。结果/结论 经过实验测试，该模型能够准确监测和模拟人体的运动姿态，未来可为体育运动训练、肢体康复训练等应用领域提供有效的数据分析。,惯性动作捕捉;;姿态解算;;Unity3D模型;,2024/8/28 13:30,徐豆豆;黄牧原;唐倩;丁晖;吴响,徐州医科大学医学信息与工程学院,医学信息学杂志,TB472
人工智能技术在国际医疗领域的应用与启示, 目的/意义 基于国际案例，分析人工智能技术在医疗领域的应用发展情况，为完善人工智能技术在我国医疗领域的应用提供参考。方法/过程 在中国知网检索文献，按照纳排标准筛选国际健康科技产业影响力较高的机构进一步分析。结果/结论 共筛选纳入7个国家8个相关健康科技产业或团队的人工智能医疗技术，基于其带来的便利与优势，为探索完善人工智能在医疗领域的研究与应用提供参考。,人工智能;;医疗;;国际应用;,2024/8/25,阮依涵;王巍;孟小虎;恽韬;毛阿燕,1.中国医学科学院/北京协和医学院医学信息研究所;2.华为技术有限公司,医学信息学杂志,TP18;R-05
免疫学数据库和分析门户ImmPort建设经验与启示, 目的/意义 总结免疫学数据库和分析门户ImmPort的建设经验，为我国建设大型免疫学数据库提供经验和参考。方法/过程 全面分析ImmPort的整体架构，讨论各模块功能，同时梳理其数据收集、组织、共享和分析复用的标准化数据流，总结ImmPort平台实践成果。结果/结论 我国在大型免疫学数据库建设过程中应重视数据标准化组织和建模；积极引用标准化术语提供语义支持；在分类分级管理中共享数据，同时开发配套工具体系，保障免疫学数据安全有效地共享和利用。,数据共享;;数据标准化;;FAIR原则;;免疫学数据库;,2024/8/25,胡拯涌;周伟;王安然;段一凡;胡万飞,1.中国医学科学院/北京协和医学院医学信息研究所;2.中国医学科学院国家人口健康科学数据中心,医学信息学杂志,TP311.13;R-05
中文电子病历数据元抽取方法," 目的/意义 提出基于国家标准的电子病历数据元抽取方法，以实现电子病历数据的细粒度共享。方法/过程 利用ALBERT、BiLSTM和CRF模型对电子病历进行序列标注，并根据标注结果生成一组候选数据元；针对每个候选数据元，采集其上下文信息并形成一个增强的键向量；计算该向量与标准向量之间的相似度，据此判断候选数据元是否有效。结果/结论 该方法F1值为90.32%,效果较好。",电子病历;;数据元;;ALBERT;;序列标注;;token向量;,2024/8/25,郭维嘉;郭少友,1.河南省图书馆;2.郑州大学信息管理学院,医学信息学杂志,TP391.1;R-05
区域健康医疗数据开放共享系统设计与应用, 目的/意义 实现安全高效的健康医疗数据开放共享，激发健康医疗数据要素价值。方法/过程 针对健康医疗数据开放共享的现状和问题，设计一种基于数据集成治理、数据资产管理、数据产品超市、数据采样分析、在线沙箱分析的健康医疗数据开放共享系统。结果/结论 实践证明该系统能够有效实现健康医疗数据采集、分析、管理和利用。,健康医疗数据;;数据产品超市;;数据沙箱;;开放共享;,2024/8/25,郭一;胡盈盈;胡斐;沈扬阳;许杰,1.浙江省卫生健康信息中心,医学信息学杂志,R-05;TP311.13
人工智能在全科医师培训中的应用与思考, 目的/意义 探究人工智能技术应用于全科医师培训的前景与挑战，促进全科医师诊疗水平提升和社区医院智能化发展。方法/过程 分析人工智能技术在基层医疗相关领域的应用现状，阐述其在全科医师培训领域的3个应用方向，并针对挑战提出应对策略。结果/结论 应采取支持脱敏临床医疗数据开放共享、聚集领域专家共建知识平台、鼓励全科医师与研发团队配合等策略，推动智能系统在全科医师培训中的应用，促进我国基层医疗质量提升。,人工智能;;知识图谱;;社区医院;;全科医师培训;,2024/8/25,董琨;杨芬;杨扬,1.深圳市前海蛇口自贸区医院;2.中山大学附属第八医院;3.哈尔滨工业大学(深圳),医学信息学杂志,R-4;C975
智能医学背景下医工融合型一流专业人才培养模式探索, 目的/意义 探索医学信息工程专业培养医工融合复合型技术人才的模式，以应对医疗健康模式变革，助力健康中国2030战略。方法/过程 从课程体系、教师队伍、质量保障3方面探讨医学信息工程专业人才创新培养模式，注重跨学科融合，构建跨学科团队，完善监控体系。结果/结论 该模式有助于培养更多适应智能医学需求的复合型技术人才，为医疗健康模式变革提供有力支持，并为其他医工融合型专业提供借鉴。,医学信息;;医工融合;;人才培养;,2024/8/25,肖瑞;蔡晓鸿;胡芳;马利,湖北中医药大学,医学信息学杂志,R-4;G642
医学领域科研基金共同资助成效及模式研究：以宫颈癌研究领域为例, 目的/意义 从资助机构类型视角出发，研究科研基金共同资助成效与模式，为完善我国医学领域科研资助体系提供理论参考。方法/过程 以宫颈癌研究领域为例，将科研基金划分为政府、高校院所、企业、医疗机构和社会组织5种类型，依据期刊影响力指数、年度引用指数、年度使用指数和综合成效分数分析共同资助成效，并基于指标结果识别与分析模式。结果/结论 通过成效分析发现高校院所、企业、社会组织共同资助的综合成效分数最高。医学领域科研资助可以结合具体科研目标，联合不同类型基金共同资助，实现效果叠加，提升产出成效。,科研基金;;共同资助;;资助成效;;资助模式;,2024/8/25,韦华楠;汪雪锋;于政杰,1.中国信息通信研究院中部大数据创新中心;2.北京理工大学管理与经济学院,医学信息学杂志,R737.33;R-05
基于SARIMA-LSTM模型的肾综合征出血热发病率预测研究, 目的/意义 探究前沿技术在肾综合征出血热发病率预测中的应用，梳理、组合多种时序分析方法，评价并筛选最佳模型。方法/过程 利用2004—2020年全国肾综合征出血热发病率数据，基于统计学方法的SARIMA、STL-ARIMA、TBATS模型，基于神经网络的NNAR、LSTM模型，基于3种加权方式的SARIMA-LSTM组合模型进行预测，运用RMSE、MAE、MAPE综合评价模型效果。结果/结论 SARIMA、LSTM在单一模型中较优；SARIMA-LSTM组合模型效果相较单一模型均有提升；基于误差倒数法的SARIMA-LSTM组合模型为最优模型。本研究有望为肾综合征出血热发病预警系统模型设计提供技术支持与参考。,肾综合征出血热;;传染病监测预警;;统计学模型;;机器学习;;SARIMA-LSTM模型;,2024/8/25,唐诗诗;李宇轩;唐圣晟;刘庆华;周毅,1.中山大学中山医学院;2.中山大学附属第一医院肾内科,医学信息学杂志,R512.8;R181.3
接受延续性护理服务的老年出院患者健康信息素养影响因素路径分析, 目的/意义 了解接受延续性护理服务的老年出院患者健康信息素养影响因素作用路径，为相关健康教育和促进工作提供理论依据。方法/过程 采用选择性配额抽样方法，对蚌埠医科大学第一附属医院60岁及以上接受延续性护理服务的老年出院患者进行问卷调查，构建结构方程模型分析影响因素作用路径。结果/结论 接受延续性护理服务的老年出院患者的健康信息素养水平一般。健康生活方式对其健康信息素养有直接影响，社会支持和心理状况通过自我效能、健康生活方式对其产生间接影响。建议家属及医务人员给予积极关注，帮助患者保持良好心理状态，促进疾病康复，提升健康信息素养水平。,延续性护理;;老年患者;;健康信息素养;;影响因素;,2024/8/25,郭星;张陈陈;侯文杰;王凌梦;朱瑞,1.蚌埠医科大学护理学院;2.蚌埠医科大学卫生管理学院;3.蚌埠医科大学公共基础学院,医学信息学杂志,R47
医疗大数据质量评价及管理研究综述, 目的/意义 归纳数据质量评价常用维度，概述医疗大数据质量评价和管理方法的类型及特点，为医疗大数据质量评价和管理提供参考。方法/过程 梳理国内外医疗大数据质量相关文献，重点分析质量评价的维度、方法及管理。结果/结论 数据质量标准有助于医疗大数据规范管理，应尽快建立和完善科学合理且符合我国国情的医疗大数据质量评价体系及全流程数据质量管理体系，促进我国医疗大数据的发展和应用。,医疗大数据;;数据质量;;数据质量评价;;数据质量管理;,2024/8/25,冯雨萱;何恬睿;沈力;郑锐;于广军,1.上海交通大学公共卫生学院;2.上海市儿童医院,医学信息学杂志,R-05
卫生健康科学数据权属问题探讨, 目的/意义 探讨我国卫生健康科学数据权属问题，为科学数据开放共享与流通政策制定提供参考。方法/过程 按照数据类型对数据权利进行探讨，初步构建数据权利体系，提出数据权利分配模式，在数据价值链视角下梳理权利转移过程。结果/结论 构建以数据财产权、人格权和监管权为核心的权利体系，提出“固有权利+转移权利”的数据权利分配模式，明晰数据主体享有的数据权利。,科学数据;;卫生健康;;数据权利;,2024/8/25,荣注瑶;贾晓峰;胡志民,1.中国医学科学院/北京协和医学院卫生健康管理政策学院;2.国家卫生健康委卫生发展研究中心,医学信息学杂志,R-05
卫生健康信息数据元标准2023版和2011版比较研究, 目的/意义 对比分析卫生健康信息数据元标准2023版和2011版，探讨差异与改进之处，以期为标准的更新与实施提供有益的参考和指导。方法/过程 整理对比2023版较2011版卫生健康信息数据元标准的更新内容，分析总结修订对标准化程度、规范化水平以及数据完整性和准确性等方面的提升作用。结果/结论 2023版在数据完整性和规范化等方面实现显著提升。分析2023版标准在实施过程中可能面临的挑战和问题，提出针对性建议和对策。,卫生信息;;数据元;;值域代码;;数据标准;;标准化;,2024/8/25,孙函;杨啸林;杨晟;周伟;张胜发,1.中国中医科学院中医药信息研究所;2.中国医学科学院基础医学研究所;3.中国医学科学院国家人口健康科学数据中心,医学信息学杂志,R-05
网络失真健康信息偏差研究述评, 目的/意义 探究网络失真健康信息经信源、媒介、信宿而引发的各种偏差效应，以应对当前网络健康信息传播与治理的热点问题。方法/过程 通过文献收集整理、统计归纳与可视化分析，对现有研究从信源端的偏差形成到信宿端的影响效应分别进行阐述、分析。结果/结论 失真健康信息偏差的形成包含基于生产端的内容偏差、基于媒介的传播偏差和基于用户的认知偏差3部分；网络失真健康信息偏差的影响效应体现在认知、决策、行为3个层面。,失真健康信息;;偏差形成;;偏差效应;,2024/8/25,黎洁;张薇薇,南京信息工程大学管理工程学院,医学信息学杂志,R-05
智慧健康城市政策梳理与解读, 目的/意义 探究相关政策的技术要点和实施路径，为未来智慧健康城市规划与建设提供参考。方法/过程 梳理国内外智慧健康城市领域相关政策，介绍其制定实施情况；深入分析相关政策内容，阐述智慧健康城市政策的演变轨迹、技术要点和实施路径，以及其对城市发展的推动作用。结果/结论 建立健康信息化、资源网络化、服务智能化和监管一体化的框架，可以有效应对城市卫生健康挑战，提供高效的健康服务，并提高居民的生活质量和卫生水平。优化医疗资源配置、促进医疗机构间协调合作、拓展健康产业等政策，将共同推动城市健康生态系统的持续进步。,智慧健康城市;;政策梳理;;政策解读;;城市发展;;健康促进;,2024/8/25,王曦;王重一;王丹蕾;毛阿燕;严晓玲,1.中国医学科学院/北京协和医学院医学信息研究所;2.华为技术有限公司,医学信息学杂志,R-05
基于知信行理论的空巢老人健康信息服务利用干预研究, 目的/意义 研究制定空巢老人健康信息服务利用障碍干预方案，以期为提高空巢老人健康信息服务知信行能力提供依据。方法/过程 选取蚌埠市延安社区居民为研究对象，随机分为对照组和干预组，干预组使用预先构建的干预方案。对照组在干预研究结束后，向其提供与干预组同样的健康教育内容。结果/结论 干预方案可提高空巢老人信息服务利用知识水平和行为能力。,空巢老人;;知信行理论;;健康信息服务;;干预方案;;实证研究;,2024/8/25,张陈陈;郭星;朱瑞;王凌梦;侯文杰,1.蚌埠医科大学护理学院;2.蚌埠医科大学卫生管理学院;3.蚌埠医科大学公共基础学院,医学信息学杂志,R-05
广西8家医院移动医疗平台用户满意度影响因素研究, 目的/意义 分析移动医疗平台用户满意度影响因素并提出建议，以提升医疗服务质量与用户满意度。方法/过程 以好大夫在线移动医疗服务平台中8家广西三级甲等医院用户的评价文本为研究对象，使用ROST内容挖掘系统软件过滤无意义词语，进行情感分析、词频统计分析、共现矩阵语义网络分析。结果/结论 用户对移动医疗服务平台的满意度和认可程度较高；从影响因素和科室角度对提升移动医疗服务用户满意度提出建议。,移动医疗平台;;满意度;;影响因素;;ROST;,2024/8/25,蒋婷婷;周春芳;熊洁;李越兰;张金凤,1.广西中医药大学马克思主义学院;2.广西中医药大学公共卫生与管理学院,医学信息学杂志,R-05
基于高质量文献的肿瘤学领域研究前沿识别研究, 目的/意义 识别领域研究前沿，辅助科学研究者有效遴选和追踪重点研究主题，助力科研管理决策者动态调整政策导向。方法/过程 以Web of Science 2012—2022年37 927条肿瘤学领域高影响力期刊文献题录和高被引文献题录为数据样本，运用BERTop提取主题，构建多维指标研究前沿识别模型，从多维度识别领域内不同类型的研究前沿。结果/结论 所构建模型识别出肿瘤学领域热点研究前沿主题9个、新兴研究前沿主题14个、潜在研究前沿主题13个和衰退研究主题1个，具有有效性。,研究前沿;;BERTopic;;多维指标;;肿瘤学;;高质量文献;,2024/7/25,朱韶华;李艳红;张迅;黄海量,1.上海交通大学医学院附属瑞金医院图书馆;2.上海财经大学信息管理与工程学院;3.复旦大学附属肿瘤医院超声科,医学信息学杂志,R73;G353.1
基于BERTopic与CiteSpace的中国中医药领域研究热点与主题演化分析, 目的/意义 梳理近10年中国中医药领域文献，阐述该领域热点主题与发展趋势。方法/过程 检索2013—2022年万方数据平台中医药领域研究文献，以摘要为研究对象，利用BERTopic模型抽取主题，并采用CiteSpace进行可视化分析。结果/结论 纳入中文文献12 683篇，发现5个主题：临床试验与疗效、病机与药理研究、中医药领域发展、慢病治疗、药物分析与文献研究。对其中热度持续增长的中医药领域发展主题深入分析，提出人工智能与中医药领域的深度融合是未来趋势。,中医药;;主题抽取;;热点识别;;共现分析;;BERTopic;;CiteSpace;,2024/7/25,王安莉;张文婷;文庭孝;欧阳威;于姗姗,1.中南大学生命科学学院;2.中南大学湘雅三医院;3.医学信息研究湖南省普通高等学校重点实验室(中南大学);4.智能辅助诊疗关键技术及应用评价湖南省工程研究中心,医学信息学杂志,R2-03;G353.1
公共图书馆健康信息服务模式研究, 目的/意义 探究公共图书馆健康信息服务模式提升策略，实现用户从被动健康向主动健康转变。方法/过程 结合用户健康信息行为、期望现状以及健康信息关注程度等影响因素，运用5W1H分析法，构建公共图书馆健康信息服务模式。结果/结论 从“主体”“内容”“对象”“方式”“场所”5方面构建公共图书馆健康信息服务模式。,5W1H;;公共图书馆;;健康信息服务;,2024/7/25,孙一凡;袁永旭;殷彩明;王涟,1.山西医科大学管理学院;2.山西医科大学图书馆,医学信息学杂志,R-05;G258.2;G252
医疗评论内容特征挖掘及其对患者在线问诊服务利用的影响, 目的/意义 阐述在线医疗评论的内容特征及其对患者在线问诊服务利用的影响，为在线医疗平台信息管理提供参考。方法/过程 构建基于TF-IDF的LDA主题模型，采用基于情感词典的语义分析方法，挖掘在线医疗评论的内容特征，应用主成分分析法对其进行分类探索，并利用二元logistic进行回归分析。结果/结论 将在线医疗评论内容特征分为3大类别，包括9个指标，其中评论者属性、时效性、问诊流程、服务态度和平台操作反馈对患者高效在线问诊服务利用存在显著影响，建议通过优化在线医疗平台评论板块相关服务提高患者对在线问诊服务的利用水平。,互联网医疗;;在线医疗评论;;文本挖掘;;在线问诊服务;,2024/7/25,纪之琳;于琦;陆姣;贺培凤;高启超,1.山西医科大学公共卫生学院;2.山西医科大学管理学院;3.西安交通大学公共政策与管理学院;4.山西医科大学基础医学院,医学信息学杂志,R197.324
基于深度学习的舌象特征研究," 目的/意义 应用深度学习技术达到舌象分析自动化的目的，为中医舌象标准化提供参考依据，进一步推进中医诊疗技术现代化进程。方法/过程 构建以区域关联性为基础、引入标签松弛技术的语义分割损失函数，显式约束舌象分割模型学习局部区域各像素关联性的同时，对错误标签具有一定的容错能力；从舌象特征中内含的颜色相关性潜在先验出发，在模型构建阶段将舌象特征仅解耦为两类下游多标签分类任务，在加速模型拟合的同时有效降低模型复杂度。结果/结论 在自建数据集上验证算法有效性，舌象分割MIoU指标为96.57%,舌象分析宏F1值、平均准确率分别为88.58%、82.59%。",迁移学习;;舌象特征;;深度学习;;舌象分割;;中医舌诊;,2024/7/25,崔涛;何佳俊;何华;李睿;赵亮,无单位信息,医学信息学杂志,R241;TP18;TP391.41
鼻咽癌放疗后大出血风险机器学习预测模型构建," 目的/意义 构建鼻咽癌放疗后大出血风险预测模型，并评价其预测效能。方法/过程 选取郑州大学第一附属医院2016—2019年鼻咽癌放疗后大出血的住院患者为研究对象，随机选取同等数量未出现大出血的患者为对照组，收集两组患者的病历指标数据，分别应用多种机器学习算法并选取最优算法构建模型。结果/结论 基于支持向量机算法的模型召回率为0.94、F1值为0.93、精确度为0.93,效果最好，可用于构建鼻咽癌放疗后大出血预测模型，为患者提供更精确的个体化预测，具有良好的临床应用前景。",鼻咽癌;;大出血;;疾病预测模型;;机器学习;,2024/7/25,葛晓伟;李星丹;张伟祎;底瑞青;程铭,郑州大学第一附属医院,医学信息学杂志,R739.63;TP181
2型糖尿病并发动脉粥样硬化风险预测模型比较, 目的/意义 探究各种预测模型在2型糖尿病并发动脉粥样硬化风险预测中的应用及其准确率。方法/过程 以国家人口健康科学数据中心“糖尿病并发症预警数据集”的生化数据表为基础，运用MATLAB软件，基于最近邻、决策树、反向传播神经网络、朴素贝叶斯模型构建2型糖尿病并发动脉粥样硬化的风险预测模型，并进行比较分析。结果/结论 从有效性看，朴素贝叶斯算法的预测准确率最高(61.6%);其次为决策树模型算法(58.2%)、最近邻算法(57.7%)、反向传播神经网络算法(55.9%);混淆矩阵结果与受试者操作特征曲线结果显示，朴素贝叶斯模型表现最好。4种算法构建的预测模型有效性、性能、稳定性等方面均是朴素贝叶斯模型最优。,2型糖尿病并发症;;动脉粥样硬化;;疾病预测模型;,2024/7/25,王一凡;石超君;马晓洁;冯文佳;安洪庆,山东第二医科大学,医学信息学杂志,R587.2;R543.5;TP18
面向医学院校生物医学工程专业的“金课”教学模式探究, 目的/意义 针对医学院校生物医学工程专业，探索一流课程建设有效路径，培养创新型生物医学工程人才，提高学生解决问题的能力。方法/过程 以MATLAB程序设计与应用课程为例，以“两性一度”为标准，优化教学内容，更新教学模式，立足学科优势推行教材建设及考核评价改革，并实践应用。结果/结论 改革有效提高了学生自主学习能力和学习效果，促进了教师教学水平提升，为医学院校同类课程建设提供有益参考。,生物医学工程;;教学改革;;“金课”;;挑战性学习;;BOPPPS理论;,2024/7/25,刘冬冬;武博;王宇;张楠,首都医科大学生物医学工程学院,医学信息学杂志,Q81-4;G642
智慧技术与公共健康融合：创建智慧健康城市, 目的/意义 在健康城市和智慧城市概念基础上提出新概念——智慧健康城市，并分析其内涵、外延、作用、面临的挑战及应对策略。方法/过程 通过文献综述和案例分析，对比健康城市和智慧城市的理论基础、特征、目标及实施策略，揭示二者的差异和融合点，提出智慧健康城市的起源、定义及界定，并探索健康城市、智慧城市和智慧健康城市三者的关系。结果/结论 智慧健康城市通过技术创新提升城市健康治理和居民福祉水平，需要先进技术与城市治理政策充分融合，并实施多元策略推动，未来城市发展应更加注重智慧健康城市框架的理论与实践协同发展。,健康城市;;智慧城市;;智慧健康城市;;城市发展;;公共卫生;,2024/7/25,王曦;王丹蕾;王重一;毛阿燕;严晓玲,1.中国医学科学院/北京协和医学院医学信息研究所;2.华为技术有限公司,医学信息学杂志,R-05
基于人体信息计量的城市居民健康指数构建研究, 目的/意义 基于人体信息计量构建城市居民健康指数，测量与评价城市居民整体健康状况，以促进居民健康管理，提升健康素养。方法/过程 结合人体信息计量和健康指数相关研究，构建城市居民健康评价指标体系并开展问卷调查研究，运用熵值法和综合指数法计算居民健康指数，进而开展实证分析。结果/结论 城市居民健康指数的外部关系指标区别最小，自然环境指标区别最大；不同性别和年龄的群体健康指数有较大差异。建议开展居民健康教育、加强高危人群健康管理、构建居民健康画像。,人体信息计量;;健康指数;;城市居民;;指标体系;,2024/7/25,吴祎玮;文庭孝,中南大学生命科学学院生物医学信息学系,医学信息学杂志,R-05
我国智慧医院建设现状及发展趋势, 目的/意义 阐述我国智慧医院发展现状、难点及挑战，为后续相关研究提供参考。方法/过程 运用文献计量学和文献综述方法，总结智慧医院的定义，提出智慧医院建设相关可行性建议。结果/结论 我国智慧医院已初步建立智慧医疗、智慧服务、智慧管理“三位一体”结构框架，在提升患者满意度、推进医院高质量发展等方面发挥积极作用。需要政府、医院、社会资本等多方协作，共同推进我国智慧医院建设，更好地守护人民健康。,智慧医院;;智慧医疗;;智慧服务;;智慧管理;,2024/7/25,袁达;赵从朴;朱溥珏;张杰石;陈政,1.中国医学科学院/北京协和医学院北京协和医院;2.中国社会科学院大学政府管理学院,医学信息学杂志,R-05
公共卫生信息化建设发展历程、问题及对策, 目的/意义 梳理公共卫生信息化发展历程、存在问题以及现有对策，为国内公共卫生领域信息化建设及完善信息化体系提供决策参考。方法/过程 基于中国知网数据库中我国公共卫生信息化研究相关文献，分析公共卫生信息化的发展历程、存在问题。结果/结论 我国公共卫生信息化共经历国家统筹、重点推进、分级试点、互联互通4个主要发展阶段，目前在疾控信息化基础建设、传染病信息化建设、信息标准体系建设、信息安全建设等方面存在问题，需对策施治。,公共卫生;;信息化;;发展历程;;问题;;对策;,2024/7/25,邹大钊;胡茂红;范义兵;李辉,1.南昌市疾病预防控制中心/传染病预防控制国家重点实验室研究基地;2.南昌大学公共卫生学院疾病预防与公共卫生江西省重点实验室,医学信息学杂志,R-05
基于潜在类别分析的老年人健康分类与健康信息服务优化研究, 目的/意义 依据异质性健康状态对老年人分类，探讨老年人健康状态的潜在类别及其影响因素，促进老年健康信息服务精准化。方法/过程 利用中国健康与养老追踪调查2018年数据，应用潜在类别分析方法依据老年人健康状态分类，运用回归分析找出主要影响因素。结果/结论 根据健康状况可将老年人分为4类；年龄、性别、教育水平、有无退休金是影响老年人健康分组的显著因素。应依据老年人异质性健康特征提供服务优化策略，促进老年人身心健康。,老年人;;健康信息服务;;优化策略;;潜在类别分析;,2024/7/25,刘喜文;杜文豪;王诗淇;张军亮;雒保军,1.新乡医学院卫生健康管理学院;2.新乡医学院卫生信息资源研究中心,医学信息学杂志,R-05
我国智能技术在医疗领域应用的发展态势分析, 目的/意义 阐述新一代智能技术在我国医疗领域应用的发展概况，为我国智能医疗技术未来发展提供思路。方法/过程 在中国知网检索并筛选2000—2023年医疗智能技术应用相关文献，使用描述性统计分析和CiteSpace软件绘制知识图谱并进行可视化分析。结果/结论 国内医疗智能技术应用研究领域发文量整体呈现先稳步增长后趋于平稳的趋势。热点关键词主要有智慧医疗、健康医疗、健康管理等，形成8个主要聚类集合。未来研究应加强研究者和机构间的合作交流，更加注重技术应用中安全隐私、技术监管、人才队伍建设以及技术能耗等方面带来的挑战。,智能技术;;智慧医疗;;CiteSpace;;知识图谱;,2024/7/25,张钟元;马琳;孟小虎;王巍;李志英,1.中国医学科学院/北京协和医学院医学信息研究所;2.华为技术有限公司;3.中国健康教育中心,医学信息学杂志,R-05
智慧健康城市技术框架及应用, 目的/意义 基于数字健康共同体参考架构，构建智慧健康城市技术框架，支撑智慧健康城市研究和发展。方法/过程 遵从该架构，结合卫生健康行业数字化需求和实践，推导代表智慧健康城市数字基础设施和智能中枢的“1+1+3+N”技术框架，即医疗健康一张网、统一的数字健康底座、3大业务平台和N个智能化应用，并进行应用分析。结果/结论 应用该框架破解信息互通难题，显著释放医疗健康数据价值，支撑行业用户、产业伙伴面向不同业务领域打造场景化解决方案，为各地智慧健康城市顶层规划、建设和发展提供参考。,智慧健康城市;;技术框架;;数字基础设施;;数字健康底座;,2024/7/25,孟小虎;邱五七;恽韬;于海天;王曦,1.华为技术有限公司;2.中国医学科学院/北京协和医学院医学信息研究所,医学信息学杂志,R-05
多源数据融合下医护科研人员科研能力提升策略研究, 目的/意义 探讨医护科研人员用户画像构建方法和科研能力提升策略。方法/过程 根据用户画像理论提出医护科研人员用户画像的构建模型；使用Python语言、ETL和Echarts工具对构建用户画像所需的多源异构数据进行采集、预处理、存储和挖掘，提取标签进行用户画像可视化并进行实证研究。结果/结论 医护科研人员可分为具备科研潜质的护理人员、科研新手、科研提升型群体和科研领域资深专家，根据不同类型特征提出医护科研人员科研能力提升策略。,多源数据;;医护科研人员;;用户画像;;科研能力提升;,2024/7/25,杨晓雯;季汉珍,1.南京医科大学图书馆;2.南通市第三人民医院/南通大学附属南通第三医院,医学信息学杂志,R197.323
成果转化背景下医院图书馆在概念验证中的作用及实现路径研究, 目的/意义 探究医院图书馆在概念验证中的作用及实现路径，为图书馆服务概念验证、提升概念验证效能提供参考。方法/过程 通过文献调研阐述概念验证的影响因素、流程步骤、潜在问题和对成果转化的影响，遵循“前因后果”的逻辑构建概念验证模型，结合资源和服务要素论述图书馆的主要作用和衍生作用，在衍生作用中挖掘对应的图书馆职能并阐明图书馆在概念验证中的实现路径。结果/结论 概念验证是加快科技成果转化的重要手段；医院图书馆在概念验证中主要发挥激活驱动因素等4种作用，可围绕馆藏建设、文化建设、协同管理等6种职能促进概念验证实施。,医院图书馆;;概念验证;;成果转化;;信息服务;,2024/6/25,朱志鹏;徐春,1.南京市疾病预防控制中心;2.中国药科大学图书馆,医学信息学杂志,G258.5;R-05
基于文本挖掘的互联网医疗平台用户画像模型构建," 目的/意义 构建互联网问诊用户画像探究问诊主题，提升问诊服务质量，减少医患沟通障碍，以线上配合线下方式针对性治疗。方法/过程 利用Python爬虫获取好大夫在线医疗平台孤独症疾病问诊数据，运用隐含狄利克雷分布(latent Dirichlet allocation, LDA)与词频-逆文档频率(term frequency-inverse document frequency, TF-IDF)结合的模型划分数据，在降维聚类后实现用户群体分类。最后通过logistic回归模型计算输出不同用户群体特征集合，构建画像。结果/结论 用户问诊内容主要围绕11个主题展开，平台可通过主题内容的典型特征优化问诊填写模板，提高用户填写疾病描述准确性、问诊效率和患者满意度。",互联网医疗平台;;主题模型;;文本分析;;用户画像;,2024/6/25,吕艳华;王康龙;钟小云;陈俊冶,山西医科大学管理学院,医学信息学杂志,R-05;TP391.1
